红楼梦原文,English Translation
早 见 都 太监 夏秉忠 乘马 而至 ， 又 有 许多 跟从 的 内监 。,"Soon Xia Bing-zhong , the Eunuch Master of the Bedchamber , arrived on horseback with a retinue of eunuchs at his back ."
那 夏 太监 也 不曾 负诏 捧 敕 ， 直至 正厅 下马 ， 满面笑容 ， 走 至 厅 上 ， 南面 而立 ， 口内 说 ：,"He appeared to have no Imperial Proclamation or other document on his person , for instead of dismounting , as etiquette prescribed that he should if he was carrying a Written Instrument , he rode straight on to the foot of the main hall . There , with beaming countenance , he got down from his horse , climbed the steps , faced south and gave utterance to the following announcement :"
“ 奉特 旨 ： 立刻 宣贾政 入 朝 ， 在 临敬 殿 陛见 。 ”,' By order of His Imperial Majesty : Jia Zheng is commanded to present himself at court immediately for private audience with His Imperial Majesty in the Hall of Reverence .
说 毕 ， 也 不吃 茶 ， 便 乘马 去 了 。,Having delivered this message he got straight back on to his horse without staying for so much as a cup of tea and rode away .
贾政 等 也 猜 不出 是 何来 头 ， 只得 即忙 更衣 入 朝 。 贾母 等 合家 人心 俱 惶惶 不定 ， 不住 的 使人 飞马 来往 探信 。,"Still no wiser , Jia Zheng hurried into his court dress and hastened to the Palace , leaving Grandmother Jia and the rest in an extreme state of alarm which they endeavoured ( unsuccessfully ) to allay by dispatching a regular stream of mounted couriers post-haste to the Palace to inquire for news ."
有 两个 时辰 ， 忽 见 赖 大 等 三四个 管家 喘吁吁 跑 进 仪门 报喜 ， 又 说 ： “ 奉 老爷 的 命 ： 就 请 老太太 率领 太太 等 进宫 谢恩 呢 。 ”,"About four hours later Lai Da , the Chief Steward of the Rong-guo mansion , and three or four other stewards came panting into the inner gate and gasped out congratulations . ' Master 's orders , ' said Lai Da between breaths : ' will Her Old Ladyship please bring Their Ladyships to the Palace to give thanks to His Majesty for the great favour he has shown us ! '"
那时 贾母 心神不定 ， 在 大堂 廊 下 伫候 ， 邢王二 夫人 、 尤氏 、 李 纨 、 凤姐 、 迎春 妹妹 以及 薛姨妈 等 ， 皆 聚 在 一处 打听 信息 。,"Unable in her agitated state to remain indoors , Grandmother Jia had been waiting outside in the loggia , whither the others - Lady Xing , Lady Wang , You-shi , Li Wan , Xi-feng , Aunt Xue and the girls - had also congregated to await news of Jia Zheng ."
贾母 又 唤 进赖 大来 细问 端底 ， 赖 大 禀道 ： “ 奴才 们 只 在外 朝房 伺候 着 ， 里头 的 信息 一概不知 。,"Grandmother Jia called Lai Da inside to explain his cryptic message in somewhat greater detail . ' We servants were all waiting in an anteroom , ' Lai Da told her , ' and we had no idea what was going on inside ."
后来 夏 太监 出来 道喜 ， 说 咱们 家 的 大 姑奶奶 封 为 凤藻宫 尚书 ， 加封 贤德 妃 。,Eventually Mr Xia came out and saw us waiting there . ' Congratulations ! ' he said . ' Your eldest young lady has been appointed Chief Secretary to the Empress and is to become an Imperial Concubine . '
后来 老爷 出来 也 这么 吩咐 。,"Then after that Master came out , too , and told us the same thing ."
如今 老爷 又 往 东宫 里 去 了 。,"' I have to go off to the East Palace now , ' he said , ' to see the Prince ."
急速 请 太太 们 去 谢恩 。 ”,But you must hasten back as quick as you can and tell Their Ladyships to come to the Palace and give thanks . '
贾母 等 听 了 方 放下 心来 ， 一时 皆 喜 见于 面 。,"Lai 's information at once dispelled the anxiety that Grandmother Jia and the others had all this time been feeling , and the worried looks on their faces quickly gave way to smiles of pleasure ."
于是 都 按 品大妆 起来 。,Now a great dressing-up began as each lady robed herself in the costume appropriate to her rank .
贾母 率领 邢王二 夫人 并 尤氏 ， 一共 四乘 大 轿 ， 鱼贯 入 朝 。,"Then off they went to the Palace in four sedans one behind the other : Grandmother Jia is at the head , then Lady Xing 's , then Lady Wang 's , and then You-shi 's ."
贾赦 贾珍 亦 换 了 朝服 ， 带领 贾蔷贾蓉 ， 奉 侍贾母 前往 。,"Jia She and Cousin Zhen also changed into court dress , and taking Jia Rong and Jia Qiang with them , accompanied Grandmother Jia to the Palace as her male escort ."
宁荣 两处 上下 内外 人 等 ， 莫不 欢天喜地 ， 独有 宝玉 置若罔闻 。,"There was one person who did not share the unbounded delight now general among the members of the Ning-guo and Rong-guo households - who behaved , indeed , almost as if he had not heard the news at all . This person was Bao-yu ."
你 道 什么 缘故 ？,What was the reason for his unsociable lack of enthusiasm on this occasion ?
原来 近日 水月庵 的 智能 私逃 入城 来 找 秦钟 ， 不意 被 秦邦业 知觉 ， 将 智能 逐出 ， 将 秦钟 打 了 一顿 ， 自己 气 的 老病 发 了 ， 三五日 ， 便 呜呼哀哉 了 。,"A short time previously the little nun Sapientia had absconded from Water-moon Priory and made her way into the city to look for Qin Zhong . Qin Bang-ye had discovered her , driven her from the house , and given Qin Zhong a beating . The shock and anger of the discovery had brought on an attack of the illness from which the old gentleman was a chronic sufferer , and within only four or five days he had breathed his last ."
秦钟本 自 怯弱 ， 又 带病 未 痊 ， 受 了 笞杖 ， 今 见 老父 气死 ， 悔痛无及 ， 又 添 了 许多 病症 。,Qin Zhong had always been of a weak and nervous disposition and had still not fully recovered from his sickness when these events occurred . The severe beating followed by the overwhelming grief and remorse attendant on the death of his father from anger which he had himself provoked led to serious complications in his illness .
因此 ， 宝玉 心中 怅怅 不 乐 。 虽 有 元春 晋封 之 事 ， 那 解得 他 的 愁闷 ？,"This , then , was the reason for Bao-yu 's unseasonable melancholy - a melancholy which the news of his sister Yuan-chun 's dazzling promotion was powerless to dispel ."
贾母 等 如何 谢恩 ， 如何 回家 ， 亲友 如何 来 庆贺 ， 宁荣 两府 近日 如何 热闹 ， 众人 如何 得意 ， 独 他 一个 皆 视 有如 无 ， 毫不介意 ：,"Grandmother Jia 's visit to the Palace to give thanks , her return home , the visits of friends and relations to congratulate the family , the unwontedly cheerful bustle of the Ning and Rong households during the days that followed , the general satisfaction that everyone in those households now seemed to feel - as far as Bao-yu was concerned these things might just as well not have been : he viewed them with the eyes of an outsider ."
因此 众人 嘲 他 越发 呆 了 。,"The rest of the family merely laughed at him , seeing in this behaviour only further confirmation of their belief that he was ' a bit touched ' ."
且 喜 贾琏 与 黛玉 回来 ， 先遣 人 来 报信 ， 明日 就 可到 家 了 ， 宝玉 听 了 ， 方略 有些 喜意 。,But then there was Jia Lian 's and Dai-yu 's homecoming to look forward to . The advent of the messenger sent on ahead to announce that they would be arriving next day produced the first glimmer of cheerfulness that Bao-yu had so far shown .
细问 原由 ， 方知 贾雨村 也 进京 引见 ， — — 皆 由 王子腾 累 上荐 本 ， 此来 候补 京 缺 ， — — 与 贾琏 是 同宗 弟兄 ， 又 与 黛玉 有 师徒 之谊 ， 故 同路 作伴 而 来 。,"On being questioned for further details the messenger told them that Jia Yu-cun was also returning to the capital to have an audience with the Emperor . This was the doing of Wang Zi-teng , who had recommended him in a report to the throne for promotion to a metropolitan post . As he was both a cousin ( albeit a remote one ) of Jia Lian and also Dai-yu 's former teacher , it had been resolved that he should travel with them ."
林如海 已 葬入 祖茔 了 ， 诸事 停妥 。 贾琏 这 番 进京 ， 若 按 站 走时 ， 本该 出 月 到 家 ， 因 听见 元春 喜信 ， 遂 昼夜兼程 而 进 ， 一路 俱 各 平安 。,"Lin Ru-hai having been laid with his ancestors in the family burying-ground and his obsequies duly concluded , they would , if they had proceeded to the capital by the usual stages , have been arriving back some time in the following month ; but when Jia Lian heard the news about Yuan-chun 's elevation , they had decided to make greater speed , travelling by night as well as by day . The journey had been smooth and uneventful ."
宝玉 只 问 了 黛玉 好 ， 余者 也 就 不在意 了 。,"Bao-yu merely asked if Dai-yu was all right , and on being assured that she was , paid no further attention to the man 's news ."
好容易 盼 到 明日 午 错 ， 果报 ： “ 琏 二爷 和 林姑娘 进府 了 。 ”,"Having waited with great impatience until the early afternoon of the following day , Bao-yu and the rest were rewarded with the announcement ' Mr Lian and Miss Lin have just arrived ! '"
见面 时 彼此 悲喜交集 ， 未免 大哭 一场 ， 又 致 庆 慰 之 词 。 宝玉 细看 那黛玉 时 ， 越发 出落 的 超逸 了 。,"The joy of their reunion was , however , tempered with grief , because of the two deaths that had occurred since their parting , and for a while there was much loud weeping on either side . Then there were words of comfort and congratulation to exchange and Bao-yu had an opportunity of studying Dai-yu more carefully . He recognized the same ethereal quality he had always known in her , but it seemed to have deepened and intensified during her absence ."
黛玉 又 带 了 许多 书籍 来 ， 忙 着 打扫 卧室 ， 安排 器具 ， 又 将 些 纸笔 等物 分送 与 宝钗 、 迎春 、 宝玉 等 。,"She had brought a lot of books back with her and was soon busy superintending the sweeping out of her bedroom to accommodate them and arranging various objets d ' art around it which had also formed part of her luggage . She had salvaged some paper , writing-brushes and other articles of stationery from her old home which she distributed as presents to Bao-chai , Ying-chun , Bao-yu and the rest ."
宝玉 又 将 北静王 所 赠 蕶 苓 香串 珍重 取出 来 ， 转送 黛玉 。 黛玉 说 ： “ 什么 臭男人 拿 过 的 ， 我 不要 这 东西 。 ” 遂 掷 还 不取 。,"Bao-yu for his part hunted up the rosary of fragrant Indian beads given him by the Prince of Bei-jing and offered it as a gift to Dai-yu ; but she flung it back at him disdainfully : ' What , carry a thing that some coarse man has pawed over ? I do not want it ! '"
宝玉 只得 收回 ， 暂且 无 话 。,So Bao-yu was compelled to take it back again .
且说 贾琏自 回家 见 过 众人 ， 回至 房中 ， 正值 凤姐 事 繁 ， 无 片刻 闲空 ， 见 贾琏 远路 归来 ， 少不得 拨冗 接待 。,"But let us now turn to Jia Lian . When he had finished seeing everyone in the family , Jia Lian returned at last to his own apartment . Xi-feng , though still so busy that she had not a moment 's leisure , had somehow contrived to find time to welcome back her wandering lord ."
因 房内 别 无 外人 ， 便 笑 道 ： “ 国舅 老爷 大喜 ！,"' Congratulations , Imperial Kinsman ! ' she said with a smile when , except for the servants , they were at last alone together ."
国舅 老爷 一路风尘 辛苦 ！,"' You have had a tiring journey , Imperial Kinsman ."
小 的 听见 昨日 的 头起 报马 来说 ， 今日 大 驾归府 ， 略 预备 了 一杯 水酒 掸 尘 ， 不知 可赐 光谬 领否 ？ ”,"Yesterday when the courier gave notice of your arrival , I prepared a humble entertainment to celebrate your homecoming . Will the Imperial Kinsman graciously condescend to take a cup of wine with his handmaid ? '"
贾琏 笑 道 ： “ 岂敢 ， 岂敢 ！,"Jia Lian replied in the same vein : ' Madam , you are too kind !"
多 承 ， 多 承 ！ ”,"I am your most oble-e-eged and humble servant , madam ! '"
一面 平儿 与 众 丫鬟 参见 毕 ， 端 上 茶 来 。,"As they joked together , Patience and the other maids came forward to welcome their Master back , after which they served them both with tea ."
贾琏遂 问别 后 家中 诸事 ， 又 谢凤姐 的 辛苦 。,Jia Lian asked Xi-feng about the events that had occurred during his absence and thanked her for looking after things so well while he was away .
凤姐 道 ： “ 我 那里 管 的 上 这些 事来 ！,"' I am not much of a manager really , ' said Xi-feng ."
见识 又 浅 ， 嘴 又 笨 ， 心 又 直 ， ‘ 人家 给 个 棒槌 ， 我 就 拿 着 认作 针 ’ 了 。,"' I haven ' t got the knowledge , and I am too poor at expressing myself and too simple-minded - always inclined to "" take a ramrod for a needle "" , as they say ."
脸 又 软 ， 搁不住 人家 给 两句 好 话儿 。,"Besides , I am too soft-hearted for the job . Anyone who says a few kind words can get the better of me ."
况且 又 没 经过 事 ， 胆子 又 小 ， 太太 略 有点 不 舒服 ， 就 吓 的 也 睡不着 了 。,And my lack of experience makes me so nervous . Aunt Wang only had to be the slightest bit displeased and I would get so upset that I could not sleep at night .
我 苦辞 过 几回 ， 太太 不许 ， 倒 说 我 图 受用 ， 不肯 学习 。,"I begged her not to make me do all these things , but she insisted . She said I only refused out of laziness and unwillingness to learn ."
那里 知道 我 是 捻 着 把 汗 儿 呢 ！ 一句 也 不敢 多 说 ， 一步 也 不敢 妄行 。,I do not think she realizes even now the state I have been in - too scared to move or even to open my mouth for fear of saying or doing something wrong .
你 是 知道 的 ， 咱们 家 所有 的 这些 管家 奶奶 ， 那 一个 是 好缠 的 ？,And you know what a difficult lot those old stewardesses are .
错 一点儿 他们 就 笑话 打趣 ， 偏 一点儿 他们 就 ‘ 指桑骂槐 ’ 的 抱怨 ；,The tiniest mistake and they are all laughing at you and making fun ; the tiniest hint of favouritism and they are grumbling and complaining .
‘ 坐 山 看 虎 斗 ’ ， ‘ 借刀杀人 ’ ， ‘ 引风吹火 ’ ， ‘ 站 干岸儿 ’ ， ‘ 推倒 了 油瓶 儿 不 扶 ’ ， 都 是 全 挂子 的 本事 ；,"You know their way of "" cursing the oak-tree when they mean the ash "" . Those old women know just how to sit on the mountain-top and watch the tigers fight ; how to murder with a borrowed knife , or help the wind to fan the fire . They will look on safely from the bank while you are drowning in the river . And the fallen oil bottle can drain away : they are not going to pick it up ."
况且 我 又 年轻 ， 不 压 人 ， 怨不得 不 把 我 搁 在 眼里 。,"On top of that , as I am so young , I haven ' t got much authority over them ; so it was all I could do to prevent them from ignoring me altogether ."
更 可笑 那府里蓉 儿媳妇 死 了 ， 珍 大哥 再三 在 太太 跟前 跪 着 讨情 ， 只要 请 我 帮 他 几天 ；,"And to crown it all , when Rong 's wife died Cousin Zhen kept coming round to see Aunt Wang and begging her on his knees to let me help out for a day or two next door ."
我 再 四 推辞 ， 太太 做情 应 了 ， 只得 从命 ， — — 到底 叫 我 闹 了 个 马仰人翻 ， 更 不成 个 体统 。,"I said again and again that I could not do it ; but Aunt Wang agreed just to please him , so there was nothing for it but to do as I was told . I am afraid I made a terrible mess of it - even worse than I did here ."
至今 珍 大哥 还 抱怨 后悔 呢 。,And now it seems Cousin Zhen is beginning to grumble and says he wishes he had never asked me .
你 明儿 见 了 他 ， 好歹 赔释 赔释 ， 就 说 我 年轻 ， 原 没 见过世面 ， 谁 叫 大爷 错委 了 他 呢 。 ”,"When you see him tomorrow , do please try to make it up with him . Tell him it is because I am young and inexperienced . You might even hint that it is his own fault for having asked me in the first place ! '"
说 着 ， 只 听 外间 有人 说话 ， 凤姐 便 问 ： “ 是 谁 ？ ”,While she was saying this there was a sound of talking in the next room . ' Who is it ? ' said Xi-feng .
平儿 进来 回 道 ： “ 姨太太 打发 香菱 妹子 来 问 我 一句 话 ， 我 已经 说 了 ， 打发 他 回去 了 。 ”,Patience came in to reply . ' Mrs Xue sent Caltrop over to ask me about something . I have already given her an answer and sent her back . '
贾琏 笑 道 ： “ 正是 呢 。,"' Ah yes ! ' said Jia Lian , apparently pleased by the recollection ."
我 才 见 姨妈 去 ， 和 一个 年轻 的 小媳妇 子刚 走 了 个 对 脸儿 ， 长 得 好 齐整 模样儿 。,"' When I went to call on Aunt Xue just now to tell her I was back , I ran into such a pretty young woman !"
我 想 咱们 家 没 这个 人 哪 ， 说话 时 问 姨妈 ， 才 知道 是 打官司 的 那 小丫头 子 ， 叫 什么 ‘ 香菱 ’ 的 ， 竟 给 薛大 傻子 作 了 屋里人 ， 开 了 脸 ， 越 发出 挑 的 标致 了 。,"I could not place her as any of the girls in our household , so in the course of conversation I asked Aunt Xue who she was . It seems that she is the little maid they had that lawsuit about . Cal - something . Caltrop . She is finally been given as "" chamber-wife "" to that idiot Xue . Now that she has been plucked and painted like a grown-up woman she really does look most attractive !"
— — 那 薛大 傻子 真 玷辱 了 他 ！ ”,What a waste to throw away a beautiful girl on that great booby ! '
凤姐 把 嘴 一撇 ， 道 ： “ 哎 ！,Xi-feng made a little moue .
往 苏杭 走 了 一趟 回来 ， 也 该 见 点 世面 了 ， 还是 这么 眼馋肚饱 的 。,"' I should have thought that having just got back from Hangchow and Soochow and seen something of the world , you would have settled down a bit ; but I see you are still the same greedy-guts as ever ."
你 要 爱 他 ， 不值 什么 ， 我 拿 平儿 换 了 他 来 好不好 ？,"Well , if you want her , there is nothing simpler : I will exchange our Patience for her ."
那 薛 老大 也 是 ‘ 吃 着 碗 里 瞧 着 锅 里 ’ 的 ， 这 一年 来 的 时候 ， 他 为 香菱 儿 不能 到手 ， 和 姑妈 打 了 多少 饥荒 。,"You know what Cousin Xue is like : always "" one eye on the dish and the other on the saucepan "" . Throughout the whole of this last year there have been I do not know how many alarms and excursions between him and poor Aunt Xue because she would not let him get his hands on Caltrop ."
姑妈 看着 香菱 的 模样儿 好 还是 小事 ， 因 他 做人 行事 ， 又 比 别的 女孩子 不同 ， 温柔 安静 ， 差不多 儿 的 主子 姑娘 还 跟不上 他 ， 才 摆酒 请客 的 费事 ， 明堂正道 给 他 做 了 屋里人 。,"It was not just her looks that made her concerned for the girl . Everything about her is so unusual . She is so gentle and so quiet . Even among our own young ladies there is scarcely her equal . In the end Aunt Xue decided that if she could not stop him having her , at least she could make sure that the thing was done properly , with a party and invitations and all the rest of it . So that is what she did , and made her his chamber wife ."
过 了 没 半月 ， 也 没事人 一大堆 了 。 ”,"But would you believe it , before a fortnight had gone by he had completely lost interest ... '"
一 语 未了 ， 二门 上 的 小厮 传报 ： “ 老爷 在 大 书房 里 等 着 二爷 呢 。 ”,"She was interrupted by an announcement from one of the pages on the inner gate : ' Mr Zhen wants you , sir . He is waiting for you in the larger study . '"
贾琏 听 了 ， 忙忙 整衣 出去 。,At once Jia Lian did up his gown and hurried out .
这里 凤姐 因 问 平儿 ： “ 方才 姑妈 有 什么 事 ， 巴巴儿 的 打发 香菱 来 ？ ”,"' What on earth did Mrs Xue want , sending Caltrop here like that ? ' Xi-feng asked Patience as soon as he had gone ."
平儿 道 ： “ 那里 来 的 香菱 ！,' It was not Caltrop ! ' said Patience .
是 我 借 他 暂 撒 个 谎儿 。,I had to make something up and hers was the first name that came to mind .
奶奶 瞧 ， 旺儿 嫂子 越发 连 个 算计 儿 也 没了 ！ ”,That wife of Brightie 's is such a stupid woman ! Just imagine '
说 着 ， 又 走 至 凤姐 身边 ， 悄悄 说道 ： “ 那项 利银 早不 送来 ， 晚 不 送来 ， 这 会子 二爷 在家 ， 他 偏 送 这个 来 了 ！,"- she drew closer to Xi-feng 's ear and lowered her voice - ' of all the times she could have chosen to bring you the interest on that money , she had to pick on the very moment when the Master has just got home !"
幸亏 我 在 堂屋 里 磞 见 了 ， 不然 他 走 了 来回 奶奶 ， 叫 二爷 要是 知道 了 ， 咱们 二爷 那 脾气 ， 油锅 里 的 还要 捞 出来 花呢 ， 知道 奶奶 有 了 体己 ， 他 还 不大 着 胆子 花么 ？,"It is lucky I was in the outside room when she came , otherwise she might have come blundering in here and Master would have heard her message . And we all know what Master is like where money is concerned : he would spend the fat in the frying-pan if he could get it out ! Once he found out that you had savings , he would pluck up courage to spend them in no time ."
所以 我 赶着 接过 来 ， 叫 我 说 了 他 两句 ， 谁知 奶奶 偏 听见 了 。,"Anyway , I took the money from her quickly and gave her a piece of my mind - which I am afraid you must have heard ."
— — 为什么 当着 二爷 我 才 只 说 是 香菱 来 了 呢 ！ ”,That is why I had to say what I did . I would never have mentioned Caltrop in the Master 's presence otherwise !
凤姐 听 了 笑 道 ： “ 我 说 呢 ， 姑妈 知道 你 二爷 来 了 ， 忽 剌 巴儿 的 打发 个 屋里人 来 ！,"Xi-feng laughed . ' I was going to say ! Why , for no apparent reason , should Mrs Xue choose a chamber-wife to send here the moment Master gets back ?"
原来 是 你 这 蹄子 闹鬼 ！ ”,"So it was you up to your tricks , you little monkey ! '"
说 着 贾琏 已 进来 了 ， 凤姐命 摆 上 酒 馔 来 ， 夫妻 对 坐 。,At this point Jia Lian came in again and Xi-feng ordered her maids to serve the wine and various choice dishes to go with it . Husband and wife sat cross-legged at opposite sides of the low table on the kang and began their drinking -
凤姐 虽 善 饮 ， 却 不敢 任兴 。,"Xi-feng with some restraint , although she was normally a fairly hard drinker , in view of the occasion ."
正 喝 着 ， 见 贾琏 的 乳母 赵嬷嬷 走来 。,"They had not been drinking long when Jia Lian 's old wet-nurse , Nannie Zhao , walked in ."
贾琏 、 凤姐 忙 让 吃酒 ， 叫 他 上 炕去 。,The young couple at once invited her to drink with them and tried to make her join them on the kang .
赵嬷嬷 执意 不肯 。,
平儿 等 早于 炕沿 设下 一几 ， 摆 一 脚踏 ， 赵嬷嬷 在 脚踏 上 坐 了 ， 贾琏 向 桌上 拣 两盘 肴馔 与 他 ， 放在 几上 自吃 。,"This last honour she would under no circumstances accept , and Patience and the girls laid a little table for her at the side of the kang and set a little stool beside it , on which she sat down very contentedly . Jia Lian made a selection with his chopsticks from the dishes on the table , and after heaping up two platefuls , set them down on Nannie Zhao 's own little table for her to eat there by herself ."
凤姐 又 道 ： “ 妈妈 很 嚼 不动 那个 ， 没 的 倒 硌 了 他 的 牙 。 ”,Xi-feng was critical : ' Nannie can not chew stuff like that . She will break her teeth on it ! '
因 问 平儿 道 ： “ 早起 我 说 那 一碗 火腿 燉 肘子 很烂 ， 正好 给 妈妈 吃 ， 你 怎么 不 拿 了 去 赶着 叫 他们 热 来 ？ ” 又 道 ： “ 妈妈 ， 你 尝一尝 你 儿子 带来 的 惠泉酒 。 ”,"She turned to Patience . ' That piece of boiled gammon in the bowl I said this morning was so tender : that would be Just the thing for Nannie . Why do not you run round to the kitchen and ask them to heat it up for her ? - Nannie , ' she said , addressing the old woman , ' you must try some of the rice wine your Lian brought back with him from the South !"
赵嬷嬷 道 ： “ 我 喝 呢 ！,"' Ooh yes ! said Nannie Zhao , ' I must try some of that !"
奶奶 也 喝 一钟 。,"And you must have some too , Mrs Lian ."
怕 什么 ？,Never fear !
只 不要 过 多 了 就是 了 。,"As long as you do not drink too much , ' twill do you good ."
我 这 会子 跑 了 来 ， 倒也不 为 酒饭 ， 倒有 一件 正经事 ， 奶奶 好歹 记 在 心里 ， 疼顾 我些 罢 ！,"But I did not come all the way here for vittles and drink , bless you . I came on more serious business . And you heed my words , Mrs Lian , and stick up for me ;"
我们 这 爷 ， 只是 嘴里 说 的 好 ， 到 了 跟前 就 忘 了 我们 。,"because that Master Lian of yours he always says he will do something , but when you go to see him later , he is clean forgot all about it !"
幸亏 我 从小儿 奶 了 你 这么 大 。,"To think I reared you up on the milk of my own bosom , Master Lian ! And a fine young man you have growed into , thanks be !"
我 也 老 了 ， 有的是 那 两个 儿子 ， 你 就 另 眼 照看 他们 些 ， 别人 也 不敢 呲 牙儿 的 。,"Well , I am old and of no account now . But there are these two sons of mine , d ' ye see ? If only you would be more like a foster-brother to them and look after them a bit , no one would dare say a word agen them ."
我 还 再三 的 求 了 你 几遍 ， 你 答应 的 倒好 ， 如今 还是 落空 。,"But dearie me ! I have asked you again and again to help them , and you always says yes ; yet to this very day nothing has ever come of it ."
这 如今 又 从 天上 跑 出 这样 一件 大喜事 来 ， 那里 用不着 人 ？,"Well , what I thought was this , Mrs Lian . With this great blessing of Heaven that is come on the family on account of your eldest young lady , surely , I thought to myself , there must be jobs in this for someone ?"
所以 倒 是 来 和 奶奶 说 是 正经 。 靠着 我们 爷 ， 只怕 我 还 饿死 了 呢 ！ ”,"I will talk to Mrs Lian about it , I said to myself ; because if I rely on Master Lian to help us , we will starve to death for certain sure ! '"
凤姐 笑 道 ： “ 妈妈 ， 你 的 两个 奶 哥哥 都 交给 我 。,"Xi-feng laughed . ' Leave your two boys to me , Nannie . I will look after them !"
你 从小儿 奶 的 儿子 还有 什么 不知 他 那 脾气 的 ？ 拿 着 皮肉 倒 往 那 不相干 的 外人 身上 贴 。 可是 现 放 着 奶 哥哥 那 一个 不 比人强 ？,"You know all about Lian is little ways because you nursed him when he was a baby : he will give the dearest thing he has to some nobody he is picked up outside , yet his own two foster-brothers who are much nicer young men than any of his favourites he neglects completely ."
你 疼 顾 照看 他们 ， 谁 敢 说 个 ‘ 不 ’ 字儿 ？ 没的白 便宜 了 外人 。,"If only you would take a bit of interest in e Lian , you would not hear a word of complaint from anyone , instead of wasting your kindnesses on those - those little male misses of yours !"
— — 我 这话 也 说错 了 ： 我们 看着 是 ‘ 外人 ’ ， 你 却 看着 是 ‘ 内 人 ’ 一样 呢 ！ ”,"I should not have called them "" misses "" , though . You treat the misses as your missus and give me the miss !"
说 着 ， 满 屋里人 都 笑 了 。,"There was a loud laugh from everyone present , including Nannie Zhao , who concluded her cackles with a pious invocation :"
赵嬷嬷 也 笑 个 不住 ， 又 念佛 道 ： “ 可是 屋子里 跑 出 青天 来 了 。,' Bless his Holy Name ! Here at last comes a just judge to set all things to rights -
要说 ‘ 内 人 ’ ‘ 外人 ’ 这些 混账 事 ， 我们 爷 是 没有 的 ； 不过 是 脸软心慈 ， 搁不住 人求 两句 罢了 。 ”,"But oh Mrs Lian , those naughty things you said about "" misses "" : that is not my Master Lian . It is Just that he is so soft-hearted he can not bring himself to say "" no "" to anyone who spins him a tale ."
凤姐 笑 道 ： “ 可不是 呢 。 有 ‘ 内 人 ’ 的 他 才 慈软 呢 ！ 他 在 咱们 娘儿们 跟前 才 是 刚硬 呢 ！ ”,"' Soft-hearted with his boy friends , maybe , ' said Xi-feng with a lubricious smile ; ' but when he has to do with us women he is hard enough . '"
赵嬷嬷 道 ： “ 奶奶 说 的 太 尽情 了 ， 我 也 乐 了 ， 再 喝 一钟 好 酒 。,"' Tee , hee , hee , what a one you are , Mrs Lian ! I do not know when I was last so merry . Come on , let is have another cup of that good wine ! -"
从此 我们 奶奶 做 了 主 ， 我 就 没 的 愁 了 。 ”,Now that I have got Mrs Lian to stand up for me I shall have no more worries ! '
贾琏 此时 不好意思 ， 只是 讪笑 道 ： “ 你们 别胡说 了 ， 快 盛饭 来 吃 ， 还要 到 珍 大爷 那边 去 商量 事 呢 。 ”,Jia Lian was by now thoroughly embarrassed and laughed sheepishly . ' Stop all this nonsense now and serve the rice ! I have still got to go round to Cousin Zhen 's after this to discuss things . '
凤姐 道 ： “ 可是 ， 别 误 了 正事 。,"' Ah yes , ' said Xi-feng . ' We must not make you late for that ."
才刚 老爷 叫 你 说 什么 ？ ”,What did Cousin Zhen want you for just now ? '
贾琏 道 ： “ 就 为 省亲 的 事 。 ”,"' It was about the visitation business , ' said Jia Lian ."
凤姐 忙 问道 ： “ 省亲 的 事 竟准 了 ？ ”,"' Has it been settled , then ? '"
贾琏 笑 道 ： “ 虽 不 十分 准 ， 也 有 八九分 了 。 ”,"' Well , not absolutely . Eight or nine parts settled , you might say . '"
凤姐 笑 道 ： “ 可是 当今 的 恩典 呢 ！,"' That is a great favour of the Emperor 's , is not it ? ' said Xi-feng ."
从来 听 书 听戏 ， 古时候 儿 也 没有 的 。 ”,' Something you do not hear of even in plays and stories about the olden days . '
赵嬷嬷 又 接口 道 ： “ 可是 呢 。,' Very true ! ' chimed in Nannie Zhao .
我 也 老糊涂 了 ！ 我 听见 上上下下 吵嚷 了 这些 日子 ， 什么 省亲 不 省亲 ， 我 也 不 理论 ；,"' But I must be getting old and stupid , for everywhere these last few days have been abuzz with talk of "" visitations "" , but blessed if I can make head or tail of it ."
如今 又 说 省亲 ， 到底 是 怎么 个 缘故 呢 ？ ”,"You tell us now : just what manner of thing s this "" visitation "" ? '"
贾琏 道 ： “ 如今 当今 体贴 万 人 之 心 ， 世上 至 大 莫如 ‘ 孝 ’ 字 ， 想来 父母 儿女 之 性 ， 皆 是 一理 ， 不在 贵贱 上分 的 。,"Jia Lian undertook to do so . ' Our present Emperor , who has always had a great sympathy for the common man , believes that the filial affection of a child for its parents is the most important thing in the world , and that family feeling is the same everywhere , irrespective of social rank ."
当今 自 为 日夜 侍奉 太上皇 、 皇太后 ， 尚 不能 略 尽孝 意 ， 因见 宫里 嫔妃 才 人 等 皆 是 入 宫 多年 ， 抛离 父母 ， 岂 有 不 思想 之 理 ？,"He has found that in his own case , even after seeing the Ex-Emperor and Ex-Empress morning , noon and night every day of his life , he is still unable to express more than a fraction of the devotion he feels for them ; and this has led him to think of all those concubines and maids of honour and other court ladies , taken from their homes and shut up in the Palace for years and years on end , and to realize how much they must miss their parents ."
